|micro_category|macro_category|human_strings
0|Rent/Mortgage|Housing & Utilities|rent august
1|Rent/Mortgage|Housing & Utilities|rent for august
2|Rent/Mortgage|Housing & Utilities|august rent payment
3|Rent/Mortgage|Housing & Utilities|rent
4|Rent/Mortgage|Housing & Utilities|rent payment
5|Rent/Mortgage|Housing & Utilities|monthly rent
6|Rent/Mortgage|Housing & Utilities|rent august 2024
7|Rent/Mortgage|Housing & Utilities|rent mth
8|Rent/Mortgage|Housing & Utilities|apartment rent
9|Rent/Mortgage|Housing & Utilities|house rent
10|Rent/Mortgage|Housing & Utilities|rent this month
11|Rent/Mortgage|Housing & Utilities|rent is due
12|Rent/Mortgage|Housing & Utilities|gotta pay rent
13|Rent/Mortgage|Housing & Utilities|rent's due
14|Rent/Mortgage|Housing & Utilities|time to pay rent
15|Rent/Mortgage|Housing & Utilities|need to pay rent
16|Rent/Mortgage|Housing & Utilities|late rent payment
17|Rent/Mortgage|Housing & Utilities|missed rent payment
18|Rent/Mortgage|Housing & Utilities|rent overdue
19|Rent/Mortgage|Housing & Utilities|rent payment august
20|Rent/Mortgage|Housing & Utilities|rent payment 2024
21|Rent/Mortgage|Housing & Utilities|monthly rental payment
22|Rent/Mortgage|Housing & Utilities|rental payment
23|Rent/Mortgage|Housing & Utilities|rental payment due
24|Rent/Mortgage|Housing & Utilities|late rental payment
25|Rent/Mortgage|Housing & Utilities|overdue rent
26|Rent/Mortgage|Housing & Utilities|rent for the house
27|Rent/Mortgage|Housing & Utilities|apartment rental payment
28|Rent/Mortgage|Housing & Utilities|house rental payment
29|Rent/Mortgage|Housing & Utilities|rent for sept
30|Rent/Mortgage|Housing & Utilities|september rent
31|Rent/Mortgage|Housing & Utilities|rent sept 2024
32|Rent/Mortgage|Housing & Utilities|sept rent
33|Rent/Mortgage|Housing & Utilities|rent payment september
34|Rent/Mortgage|Housing & Utilities|rental payment sept
35|Rent/Mortgage|Housing & Utilities|oct rent
36|Rent/Mortgage|Housing & Utilities|october rent
37|Rent/Mortgage|Housing & Utilities|rent october 2024
38|Rent/Mortgage|Housing & Utilities|october rent payment
39|Rent/Mortgage|Housing & Utilities|rental payment october
40|Rent/Mortgage|Housing & Utilities|rent for october
41|Rent/Mortgage|Housing & Utilities|nov rent
42|Rent/Mortgage|Housing & Utilities|november rent
43|Rent/Mortgage|Housing & Utilities|november rent payment
44|Rent/Mortgage|Housing & Utilities|rent november 2024
45|Rent/Mortgage|Housing & Utilities|rent nov 2024
46|Rent/Mortgage|Housing & Utilities|rental payment nov
47|Rent/Mortgage|Housing & Utilities|rental payment november
48|Rent/Mortgage|Housing & Utilities|december rent
49|Rent/Mortgage|Housing & Utilities|rent dec 2024
50|Rent/Mortgage|Housing & Utilities|dec rent payment
51|Rent/Mortgage|Housing & Utilities|rent december 2024
52|Rent/Mortgage|Housing & Utilities|december rental payment
53|Rent/Mortgage|Housing & Utilities|rent for december
54|Rent/Mortgage|Housing & Utilities|jan rent
55|Rent/Mortgage|Housing & Utilities|january rent
56|Rent/Mortgage|Housing & Utilities|january rent payment
57|Rent/Mortgage|Housing & Utilities|rent january 2025
58|Rent/Mortgage|Housing & Utilities|jan rent 2025
59|Rent/Mortgage|Housing & Utilities|rental payment jan
60|Rent/Mortgage|Housing & Utilities|rental payment january
61|Rent/Mortgage|Housing & Utilities|feb rent
62|Rent/Mortgage|Housing & Utilities|february rent
63|Rent/Mortgage|Housing & Utilities|february rent payment
64|Rent/Mortgage|Housing & Utilities|rent february 2025
65|Rent/Mortgage|Housing & Utilities|feb rent 2025
66|Rent/Mortgage|Housing & Utilities|rental payment feb
67|Rent/Mortgage|Housing & Utilities|rental payment february
68|Rent/Mortgage|Housing & Utilities|march rent
